sample,reference
BD55-270-0_NNSmerged,ref37-40
BD55-5276-0_NNSmerged,ref37-40
BD55-5276-1_libmerged,ref41-44
BD55-5325-0_NNSmerged,ref37-40
BD55-5325-1_libmerged,ref41-44
BD55-5365-0_NNSmerged,ref37-40
BD55-5365-1_libmerged,ref41-44
C121-0_NNSmerged,ref37-40
COV2-2308-0_libmerged,ref41-44
COV2-2308-1_libmerged,ref41-44
